ID,Last Changed,Author,Title,Anthology,URL,Source,Pub Year,Category,Location,License,"MPAA
Max","MPAA 
#Max","MPAA
#Avg",Excerpt,"Google
WC","Joon
WC v1",British WC,British Words,"Sentence
Count v1","Sentence
Count v2",Paragraphs,BT Easiness,BT s.e.,Flesch-Reading-Ease,Flesch-Kincaid-Grade-Level,Automated Readability Index,SMOG Readability,New Dale-Chall Readability Formula,CAREC,CAREC_M,CARES,CML2RI,firstPlace_pred,secondPlace_pred,thirdPlace_pred,fourthPlace_pred,fifthPlace_pred,sixthPlace_pred,Kaggle split
2015,,wikipedia,Elasticity_(physics),,https://en.wikipedia.org/wiki/Elasticity_(physics),wikipedia,2020,Info,mid,CC BY-SA 3.0,G,1,1,"The physical reasons for elastic behavior can be quite different for different materials. In metals, the atomic lattice changes size and shape when forces are applied (energy is added to the system). When forces are removed, the lattice goes back to the original lower energy state. For rubbers and other polymers, elasticity is caused by the stretching of polymer chains when forces are applied.
Hooke's law states that the force required to deform elastic objects should be directly proportional to the distance of deformation, regardless of how large that distance becomes. This is known as perfect elasticity, in which a given object will return to its original shape no matter how strongly it is deformed. This is an ideal concept only; most materials which possess elasticity in practice remain purely elastic only up to very small deformations, after which plastic (permanent) deformation occurs.",142,144,0,,7,7,2,-1.820296934,0.496479711,40.56,12.68,13.31,14,10.17,0.27025,0.27298,0.498605461,12.334766,-1.876361493,-1.836897303,-1.817822,-1.806208423,-1.768307342,-1.8328892,Train
408,,Clair W. Hayes,The Boy Allies At Verdun,,http://www.gutenberg.org/cache/epub/13020/pg13020-images.html,gutenberg,1917,Lit,start,PD,PG,2,2,"On the twenty-second of February, 1916, an automobile sped northward along the French battle line that for almost two years had held back the armies of the German emperor, strive as they would to win their way farther into the heart of France. For months the opposing forces had battled to a draw from the North Sea to the boundary of Switzerland, until now, as the day waned—it was almost six o'clock—the hands of time drew closer and closer to the hour that was to mark the opening of the most bitter and destructive battle of the war, up to this time.
It was the eve of the battle of Verdun.
The occupants of the automobile as it sped northward numbered three. In the front seat, alone at the driver's wheel, a young man bent low. He was garbed in the uniform of a British lieutenant of cavalry. Close inspection would have revealed the fact that the young man was a youth of some eighteen years, fair and good to look upon.",170,173,0,,7,8,3,-0.95232462,0.498115881,68.79,9.8,11.03,11,7.51,0.11652,0.12905,0.430106872,10.21647256,-1.041028435,-1.093127272,-0.95933867,-0.954064331,-1.023613209,-0.903814,Train
6332,,Alphonse Daudet,Salvette and Bernadou,"In the Yule-Log Glow, Book 2: Christmas Tales from 'Round the World",http://www.gutenberg.org/files/19084/19084-h/19084-h.htm#Page_63,gutenberg,1891,Lit,start,PD,G,1,1,"It is the eve of Christmas in a large village of Bavaria. Along the snow-whitened streets, amid the confusion of the fog and noise of carriages and bells, the crowd presses joyously about cook-shops, wine-booths, and busy stores. Rustling with a light sweep of sound against the flower-twined and be-ribboned stalls, branches of green holly, or whole saplings, graced with pendants and shading the heads below like boughs of the Thuringian forest, go by in happy arms: a remembrance of nature in the torpid life of winter.
Day dies out. Far away, behind the gardens of the Résidence, lingers a glimmer of the departing sun, red in the fog; and in the town is such gaiety, such hurry of preparation for the holiday, that each jet of light which springs up in the many windows seems to hang from some vast Christmas-tree.
This is, in truth, no ordinary Christmas. It is the year of grace eighteen hundred and seventy, and the holy day is only a pretext the more to drink to the illustrious Von der Than and celebrate the triumph of the Bavarian troops.",183,185,0,,7,7,3,-0.907526913,0.473972059,62.65,11.3,12.87,10,8.46,0.26175,0.26891,0.534849968,0.592452441,-1.825739343,-1.904977884,-1.7650748,-1.946174289,-1.841705161,-1.8772005,Test
6632,,Kate Douglas Wiggin,Homespun Tales,,http://www.gutenberg.org/files/3492/3492-h/3492-h.htm#link2H_4_0009,gutenberg,1907,Lit,mid,PD,G,1,1,"At the Thanksgiving sociable some one had observed her turquoise engagement ring,—some one who said that such a hand was worthy of a diamond, that turquoises were a pretty color, but that there was only one stone for an engagement ring, and that was a diamond. At the Christmas dance the same some one had said that her waltzing would make her ""all the rage"" in Boston. She wondered if it were true, and wondered whether, if she had not promised to marry Stephen, some splendid being from a city would have descended from his heights, bearing diamonds in his hand. Not that she would have accepted them; she only wondered. These disloyal thoughts came seldom, and she put them resolutely away, devoting herself with all the greater assiduity to her muslin curtains and ruffled pillow-shams. Stephen, too, had his momentary pangs. There were times when he could calm his doubts only by working on the little house. The mere sight of the beloved floors and walls and ceilings comforted his heart, and brought him good cheer.",177,180,0,,8,8,1,-0.969682171,0.464170253,66.86,9.46,11.48,10,7.76,0.13746,0.1404,0.509947265,14.57278326,-1.239185526,-1.181688209,-1.0951039,-1.215826971,-1.165114678,-1.1611385,Train
2767,,David M,Soccer star,African Storybook Level 3,https://www.africanstorybook.org/,africanstorybook,2018,Lit,whole,CC BY 4.0,G,1,1,"One million years ago, a soccer gem was formed. When it was discovered, people fought to possess this powerful jewel. During the first soccer world war the gem was lost. No one knew what happened to it. Many years passed. The soccer gem would only be found when the greatest soccer star was born. Not long ago, there was a boy named David. He was from a poor family. Before David's father died, he gave the soccer gem to his son. At first, the boy didn't know the power of the jewel. He was a teenager when he first used the gem to play soccer. David hadn't gone to school. But with the gem's power, he won every single match he played with his friends. He realized that he could make money for his family from playing soccer. He would open a shop for his mother and send his brother and sisters to school. David became the best professional soccer player that anyone had seen. It was even said that he was from another world! The soccer star who will never be forgotten!",183,187,0,,18,18,1,-0.291865363,0.470104464,85.1,3.91,3.33,7,6.47,-0.04197,-0.06049,0.453847647,26.72845137,0.124613691,-0.069376069,-0.11276706,-0.102334283,0.032852877,0.001046057,Train
7106,,"By Robert Southey
","THE BATTLE OF TRAFALGAR
","Title: Journeys Through Bookland, Vol. 8.",http://www.gutenberg.org/files/24532/24532-h/24532-h.htm#THE_BATTLE_OF_TRAFALGAR,gutenberg,1922,Lit,mid,PD,G,1,1,"Early on the following morning he reached Portsmouth; and, having despatched his business on shore, endeavoured to elude the populace by taking a by-way to the beach; but a crowd collected in his train, pressing forward to obtain a sight of his face;—many were in tears, and many knelt down before him, and blessed him as he passed. England has had many heroes, but never one who so entirely possessed the love of his fellow-countrymen as Nelson. All men knew that his heart was as humane as it was fearless; that there was not in his nature the slightest alloy of selfishness or cupidity; but that, with perfect and entire devotion, he served his country with all his heart, and with all his soul, and with all his strength; and, therefore, they loved him as truly and as fervently as he loved England. They pressed upon the parapet to gaze after him when his barge pushed off, and he was returning their cheers by waving his hat.",167,168,1,endeavoured,4,4,1,-1.438362148,0.498880933,46.31,17.3,20.38,14,8.82,0.12725,0.15915,0.394661884,5.064659392,-1.418467442,-1.493646962,-1.5085665,-1.443301249,-1.525942185,-1.4497048,Train
5407,,THOMAS STAFFORD,WHAT WE SAW IN THE WOODS,"The Nursery, Number 164
       A Monthly Magazine for Youngest Readers",http://www.gutenberg.org/files/15928/15928-h/15928-h.htm#WHAT_WE_SAW_IN_THE_WOODS,gutenberg,1880,Lit,end,PD,PG,2,1.5,"Mr. Brisk started for the brook, treading carefully, so as not to make a noise. No sooner was he gone than Uncle Ralph seized me by the collar, and said, ""Now, you young scapegrace, come along with me, and help me save the life of that deer.""
The old gentleman was in earnest. He could not bear to see life destroyed, whether of bird or beast. He lived on vegetables and fruits, and believed that the lower animals have souls. We took a by-path to the brook, and there found the deer quietly grazing.
Just as Mr. Brisk was preparing to fire, Uncle Ralph threw a stone at the deer, and sent him off on a fast gallop through the woods.
""Hallo! What did you do that for?"" asked Mr. Brisk.
""I did it so that you should not have a venison dinner,"" said Uncle Ralph, laughing.
Mr. Brisk was pretty mad at first; but at last he joined in the laugh, and we all had a good feast on strawberries instead of Venison.",169,180,0,,12,11,6,-0.635957339,0.457073836,86.75,5.11,5.27,8,6.41,0.0438,0.0438,0.417097258,15.65523511,-0.426715606,-0.453571691,-0.49028265,-0.496641262,-0.480391363,-0.48526993,Test
6543,,Henry Beston,THE MARVELOUS DOG AND THE WONDERFUL CAT,The Firelight Fairy Book,http://www.gutenberg.org/files/19207/19207-h/19207-h.htm,gutenberg,1919,Lit,mid,PD,G,1,1,"Seeing the front door wide open, the enchanter walked in. It was very quiet. Only the far away klingle-klangle of a cow-bell could be heard.
""Here shall I live,"" said the enchanter. And he brought his possessions to the house.
Now, one autumnal morning, when a blue haze hung over the lonely fields from which the reapers had departed, and the golden leaves were wet underfoot, the old enchanter went for a walk down the lane, and finding the day agreeable, kept on until he found himself in the woods. Arriving at the crest of a little hill in the woodland, he saw below him, almost at the foot of the slope, a countryman with a white puppy and a black kitten following at his heels. The little dog barked merrily out of pure high spirits, whilst the kitten leaped and struck with its tiny paws at the passing white butterflies.",149,153,0,,8,8,3,-0.193262027,0.462013878,73.52,7.76,8.39,10,7.06,0.17338,0.20157,0.349204823,8.649373047,-0.460208655,-0.438570724,-0.32118136,-0.259683944,-0.405177782,-0.3861936,Train
4931,,Written in Illustrated London News,The Pyramids of Meroe,SCIENTIFIC AMERICAN SUPPLEMENT NO. 433,http://www.gutenberg.org/files/9076/9076-h/9076-h.htm#20,gutenberg,1884,Info,whole,PD,PG,2,2,"About fifty miles from the mouth of the Atbara, and, of course, on the eastern bank of the Nile, stand the pyramids of Meroe. They consist of three groups, and there are, in all, about eighty pyramids. The presumption is that they represent the old sepulchers of the kings of Meroe. Candance, Queen of the Ethiopians, mentioned in Acts, chap. viii., v. 27, is supposed to have belonged to Meroe, that being the name also of the capital, which is understood to have been somewhere not far distant from the sepulchers. These pyramids of Meroe possess one marked feature, distinguishing them from the pyramids of Egypt proper--that is, they have an external doorway or porch. As there is no entrance to the pyramid at these porticoes, it is quite possible that they were temples for worship or making offerings to the dead. By comparing them with the pyramids of Ghizeh, it will be seen that they are also taller in proportion to their base. Another important point in these porches or temples is the existence of the arch; and that, too, an arch in principle, with a keystone.",188,190,0,,9,10,1,-2.095160981,0.500236439,65.9,8.76,9.34,12,8.42,0.32317,0.33032,0.518745691,15.6889882,-2.169938183,-2.213013569,-2.084687,-2.225189017,-2.225979388,-2.2295337,Train
4547,,Thomas Bailey Aldrich,Ponkapog Papers,,http://www.online-literature.com/thomas-bailey-aldrich/ponkapog/1/,online-literature,1903,Info,mid,PD,G,1,1,"In his Memoirs, Kropotkin states the singular fact that the natives of the Malayan Archipelago have an idea that something is extracted from them when their likenesses are taken by photography. Here is the motive for a fantastic short story, in which the hero--an author in vogue or a popular actor--might be depicted as having all his good qualities gradually photographed out of him. This could well be the result of too prolonged indulgence in the effort to ""look natural."" First the man loses his charming simplicity; then he begins to pose in intellectual attitudes, with finger on brow; then he becomes morbidly self-conscious, and finally ends in an asylum for incurable egotists. His death might be brought about by a cold caught in going out bareheaded, there being, for the moment, no hat in the market of sufficient circumference to meet his enlarged requirement.",145,151,0,,5,6,1,-1.757416661,0.465228247,45.75,13.01,13.56,15,9.34,0.17658,0.20341,0.486473745,5.989399232,-2.208445266,-2.280295853,-2.5007002,-2.330762334,-2.277673425,-2.3124654,Test
