ID,Book,Qualitative Grade Level,Excerpt
Q1,The Great Gatsby,10,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens—finally when it reached the house drifting up the side in bright vines as though from the momentum of its run. The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch."
Q2,The Great Gatsby,10,"Mrs. Wilson had changed her costume some time before, and was now attired in an elaborate afternoon dress of cream-coloured chiffon, which gave out a continual rustle as she swept about the room. With the influence of the dress her personality had also undergone a change. The intense vitality that had been so remarkable in the garage was converted into impressive hauteur. Her laughter, her gestures, her assertions became more violently affected moment by moment, and as she expanded the room grew smaller around her, until she seemed to be revolving on a noisy, creaking pivot through the smoky air."
Q3,The Great Gatsby,10,"“I’m going to make a big request of you today,” he said, pocketing his souvenirs with satisfaction, “so I thought you ought to know something about me. I didn’t want you to think I was just some nobody. You see, I usually find myself among strangers because I drift here and there trying to forget the sad things that happened to me.” He hesitated. “You’ll hear about it this afternoon.”"
Q4,The Great Gatsby,10,"But his heart was in a constant, turbulent riot. The most grotesque and fantastic conceits haunted him in his bed at night. A universe of ineffable gaudiness spun itself out in his brain while the clock ticked on the washstand and the moon soaked with wet light his tangled clothes upon the floor. Each night he added to the pattern of his fancies until drowsiness closed down upon some vivid scene with an oblivious embrace. For a while these reveries provided an outlet for his imagination; they were a satisfactory hint of the unreality of reality, a promise that the rock of the world was founded securely on a fairy’s wing."
Q5,The Great Gatsby,10,"On the last afternoon before he went abroad, he sat with Daisy in his arms for a long, silent time. It was a cold fall day, with fire in the room and her cheeks flushed. Now and then she moved and he changed his arm a little, and once he kissed her dark shining hair. The afternoon had made them tranquil for a while, as if to give them a deep memory for the long parting the next day promised. They had never been closer in their month of love, nor communicated more profoundly one with another, than when she brushed silent lips against his coat’s shoulder or when he touched the end of her fingers, gently, as though she were asleep."
Q6,To Kill a Mockingbird,8,"Inside the house lived a malevolent phantom. People said he existed, but Jem and I had never seen him. People said he went out at night when the moon was down, and peeped in windows. When people’s azaleas froze in a cold snap, it was because he had breathed on them. Any stealthy small crimes committed in Maycomb were his work. Once the town was terrorized by a series of morbid nocturnal events: people’s chickens and household pets were found mutilated; although the culprit was Crazy Addie, who eventually drowned himself in Barker’s Eddy, people still looked at the Radley Place, unwilling to discard their initial suspicions. A Negro would not pass the Radley Place at night, he would cut across to the sidewalk opposite and whistle as he walked. The Maycomb school grounds adjoined the back of the Radley lot; from the Radley chickenyard tall pecan trees shook their fruit into the schoolyard, but the nuts lay untouched by the children: Radley pecans would kill you. A baseball hit into the Radley yard was a lost ball and no questions asked."
Q7,To Kill a Mockingbird,8,"The remainder of my schooldays were no more auspicious than the first. Indeed, they were an endless Project that slowly evolved into a Unit, in which miles of construction paper and wax crayon were expended by the State of Alabama in its well-meaning but fruitless efforts to teach me Group Dynamics. What Jem called the Dewey Decimal System was school-wide by the end of my first year, so I had no chance to compare it with other teaching techniques. I could only look around me: Atticus and my uncle, who went to school at home, knew everything—at least, what one didn’t know the other did. Furthermore, I couldn’t help noticing that my father had served for years in the state legislature, elected each time without opposition, innocent of the adjustments my teachers thought essential to the development of Good Citizenship. Jem, educated on a half-Decimal half-Duncecap basis, seemed to function effectively alone or in a group, but Jem was a poor example: no tutorial system devised by man could have stopped him from getting at books. As for me, I knew nothing except what I gathered from Time magazine and reading everything I could lay hands on at home, but as I inched sluggishly along the treadmill of the Maycomb County school system, I could not help receiving the impression that I was being cheated out of something. Out of what I knew not, yet I did not believe that twelve years of unrelieved boredom was exactly what the state had in mind for me."
Q8,To Kill a Mockingbird,8,"“Jack! When a child asks you something, answer him, for goodness’ sake. But don’t make a production of it. Children are children, but they can spot an evasion quicker than adults, and evasion simply muddles ’em. No,” my father mused, “you had the right answer this afternoon, but the wrong reasons. Bad language is a stage all children go through, and it dies with time when they learn they’re not attracting attention with it. Hotheadedness isn’t. Scout’s got to learn to keep her head and learn soon, with what’s in store for her these next few months. She’s coming along, though. Jem’s getting older and she follows his example a good bit now. All she needs is assistance sometimes.”"
Q9,To Kill a Mockingbird,8,"“There has been a request,” Judge Taylor said, “that this courtroom be cleared of spectators, or at least of women and children, a request that will be denied for the time being. People generally see what they look for, and hear what they listen for, and they have the right to subject their children to it, but I can assure you of one thing: you will receive what you see and hear in silence or you will leave this courtroom, but you won’t leave it until the whole boiling of you come before me on contempt charges. Mr. Ewell, you will keep your testimony within the confines of Christian English usage, if that is possible. Proceed, Mr. Gilmer.”"
Q10,To Kill a Mockingbird,8,"Mrs. Merriweather faced Mrs. Farrow: “Gertrude, I tell you there’s nothing more distracting than a sulky darky. Their mouths go down to here. Just ruins your day to have one of ’em in the kitchen. You know what I said to my Sophy, Gertrude? I said, ‘Sophy,’ I said, ‘you simply are not being a Christian today. Jesus Christ never went around grumbling and complaining,’ and you know, it did her good. She took her eyes off that floor and said, ‘Nome, Miz Merriweather, Jesus never went around grumbling’.’ I tell you, Gertrude, you never ought to let an opportunity go by to witness for the Lord.”"
