ID,Original_Grade,Target_Grade,Rewritten_Grade,Distance_to_Target,Improvement_Toward_Target,Directional_Consistency
2015,13.172,6.0,6.0,0.0,7.172,1
408,10.115,3.0,4.0,1.0,6.115,1
6332,11.301,7.0,7.0,0.0,4.301,1
6632,9.239,11.0,10.0,1.0,0.761,1
2767,4.302,1.0,3.0,2.0,1.302,1
7106,16.944,2.0,2.0,0.0,14.944,1
5407,5.431,9.0,10.0,1.0,2.569,1
6543,7.791,2.0,3.0,1.0,4.791,1
4931,9.441,6.0,8.0,2.0,1.441,1
4547,14.519,10.0,8.0,2.0,2.519,1
454,5.219,1.0,3.0,2.0,2.219,1
6259,8.273,9.0,10.0,1.0,-0.273,1
2074,12.212,4.0,5.0,1.0,7.212,1
479,11.112,1.0,3.0,2.0,8.112,1
6639,14.516,2.0,4.0,2.0,10.516,1
7414,13.029,7.0,7.0,0.0,6.029,1
3903,10.631,7.0,7.0,0.0,3.631,1
6568,12.259,2.0,3.0,1.0,9.259,1
2577,10.497,4.0,6.0,2.0,4.497,1
3546,10.15,2.0,4.0,2.0,6.15,1
2695,9.601,9.0,10.0,1.0,-0.399,0
3699,10.501,7.0,5.0,2.0,1.501,1
1985,15.518,1.0,4.0,3.0,11.518,1
2933,10.244,10.0,10.0,0.0,0.244,1
7044,4.956,2.0,4.0,2.0,0.956,1
5761,2.121,4.0,0.0,4.0,-2.121,0
5950,12.426,11.0,7.0,4.0,-2.574,1
5948,6.747,11.0,9.0,2.0,2.253,1
7349,15.457,10.0,12.0,2.0,3.457,1
2882,5.042,1.0,4.0,3.0,1.042,1
6756,3.623,10.0,10.0,0.0,6.377,1
5296,5.852,10.0,10.0,0.0,4.148,1
4867,12.359,7.0,7.0,0.0,5.359,1
2488,11.598,1.0,1.0,0.0,10.598,1
4803,9.716,4.0,6.0,2.0,3.716,1
3199,4.11,1.0,2.0,1.0,2.11,1
3054,10.218,9.0,7.0,2.0,-0.782,1
6708,9.759,3.0,5.0,2.0,4.759,1
5626,5.973,5.0,4.0,1.0,-0.027,1
6160,4.024,7.0,10.0,3.0,-0.024,1
4829,7.476,3.0,5.0,2.0,2.476,1
6237,2.494,9.0,10.0,1.0,5.506,1
4724,6.966,2.0,4.0,2.0,2.966,1
3728,8.331,10.0,10.0,0.0,1.669,1
3052,9.889,5.0,9.0,4.0,0.889,1
3742,11.097,9.0,7.0,2.0,0.097,1
5845,10.068,11.0,10.0,1.0,-0.068,0
2863,12.055,3.0,7.0,4.0,5.055,1
4400,11.484,2.0,5.0,3.0,6.484,1
5265,7.837,10.0,7.0,3.0,-0.837,0
1584,6.061,10.0,10.0,0.0,3.939,1
1122,11.715,11.0,10.0,1.0,-0.285,1
2132,15.058,4.0,7.0,3.0,8.058,1
4925,8.647,6.0,5.0,1.0,1.647,1
7386,2.218,2.0,10.0,8.0,-7.782,0
5334,6.859,9.0,10.0,1.0,1.141,1
6747,9.995,12.0,10.0,2.0,0.005,1
7096,9.237,2.0,4.0,2.0,5.237,1
5503,12.852,10.0,2.0,8.0,-5.148,1
418,5.678,1.0,11.0,10.0,-5.322,0
6733,6.68,10.0,6.0,4.0,-0.68,0
3779,10.126,4.0,6.0,2.0,4.126,1
5586,9.007,8.0,10.0,2.0,-0.993,0
3162,10.449,11.0,7.0,4.0,-3.449,0
2156,10.52,9.0,5.0,4.0,-2.48,1
5507,7.191,7.0,8.0,1.0,-0.809,0
7425,24.198,6.0,10.0,4.0,14.198,1
5752,6.641,8.0,5.0,3.0,-1.641,0
5848,10.109,10.0,5.0,5.0,-4.891,1
467,6.024,8.0,4.0,4.0,-2.024,0
6765,7.49,6.0,8.0,2.0,-0.51,0
6477,6.859,5.0,2.0,3.0,-1.141,1
2012,14.981,4.0,10.0,6.0,4.981,1
5595,5.358,3.0,4.0,1.0,1.358,1
6316,11.678,12.0,5.0,7.0,-6.678,0
3784,9.143,4.0,9.0,5.0,0.143,1
7145,13.583,2.0,7.0,5.0,6.583,1
4943,10.9,10.0,10.0,0.0,0.9,1
3540,13.319,5.0,5.0,0.0,8.319,1
4420,6.329,9.0,4.0,5.0,-2.329,0
7141,15.489,8.0,15.0,7.0,0.489,1
5574,9.892,6.0,6.0,0.0,3.892,1
5060,19.664,12.0,10.0,2.0,5.664,1
4681,11.226,8.0,10.0,2.0,1.226,1
2937,2.792,5.0,3.0,2.0,0.208,1
2018,12.759,10.0,7.0,3.0,-0.241,1
6481,7.6,2.0,10.0,8.0,-2.4,0
1903,14.87,2.0,6.0,4.0,8.87,1
6055,5.455,9.0,10.0,1.0,2.545,1
6768,7.157,7.0,4.0,3.0,-2.843,1
6497,2.651,3.0,4.0,1.0,-0.651,1
7230,11.3,6.0,10.0,4.0,1.3,1
4176,36.395,3.0,10.0,7.0,26.395,1
5770,5.488,8.0,4.0,4.0,-1.488,0
7013,1.6,7.0,9.0,2.0,3.4,1
7088,16.471,1.0,10.0,9.0,6.471,1
2572,12.713,11.0,10.0,1.0,0.713,1
5708,2.895,2.0,9.0,7.0,-6.105,0
3668,6.163,9.0,8.0,1.0,1.837,1
3426,4.398,10.0,6.0,4.0,1.602,1
4316,17.079,6.0,9.0,3.0,8.079,1
5056,9.186,6.0,12.0,6.0,-2.814,0
3672,7.661,12.0,6.0,6.0,-1.661,0
2934,15.64,6.0,5.0,1.0,8.64,1
6166,12.553,10.0,8.0,2.0,0.553,1
4449,11.826,8.0,5.0,3.0,0.826,1
6324,12.209,10.0,6.0,4.0,-1.791,1
4321,9.17,8.0,8.0,0.0,1.17,1
3590,11.643,2.0,7.0,5.0,4.643,1
2956,9.71,2.0,10.0,8.0,-0.29,0
2315,11.441,5.0,10.0,5.0,1.441,1
6283,8.201,8.0,10.0,2.0,-1.799,0
4765,11.159,12.0,3.0,9.0,-8.159,0
4561,9.198,11.0,2.0,9.0,-7.198,0
3011,4.828,2.0,10.0,8.0,-5.172,0
5490,10.793,1.0,10.0,9.0,0.793,1
2765,11.823,12.0,5.0,7.0,-6.823,0
7276,5.953,12.0,10.0,2.0,4.047,1
2596,11.483,5.0,11.0,6.0,0.483,1
3014,5.677,11.0,8.0,3.0,2.323,1
2740,12.709,10.0,10.0,0.0,2.709,1
4763,12.163,11.0,6.0,5.0,-3.837,1
7086,10.951,8.0,10.0,2.0,0.951,1
4336,8.362,5.0,5.0,0.0,3.362,1
6383,11.196,12.0,10.0,2.0,-1.196,0
6585,10.441,7.0,6.0,1.0,2.441,1
5229,9.418,11.0,3.0,8.0,-6.418,0
2758,7.413,6.0,6.0,0.0,1.413,1
2533,12.14,1.0,5.0,4.0,7.14,1
4920,10.048,8.0,6.0,2.0,0.048,1
7098,12.471,6.0,5.0,1.0,5.471,1
2487,13.081,3.0,3.0,0.0,10.081,1
7166,10.778,10.0,10.0,0.0,0.778,1
6264,3.636,2.0,3.0,1.0,0.636,1
6820,7.528,8.0,6.0,2.0,-1.528,0
3801,10.558,1.0,7.0,6.0,3.558,1
1177,11.104,4.0,3.0,1.0,6.104,1
7208,9.928,5.0,7.0,2.0,2.928,1
3842,17.162,3.0,6.0,3.0,11.162,1
4080,14.706,12.0,7.0,5.0,-2.294,1
5018,14.455,4.0,8.0,4.0,6.455,1
4721,15.02,7.0,5.0,2.0,6.02,1
1949,10.869,7.0,4.0,3.0,0.869,1
2749,9.849,8.0,10.0,2.0,-0.151,0
2953,6.154,2.0,10.0,8.0,-3.846,0
5607,2.75,3.0,10.0,7.0,-6.75,1
7012,5.885,8.0,10.0,2.0,0.115,1
6205,3.326,7.0,6.0,1.0,2.674,1
3225,9.383,9.0,3.0,6.0,-5.617,1
1247,11.07,5.0,10.0,5.0,1.07,1
6185,5.263,3.0,8.0,5.0,-2.737,0
4297,7.635,7.0,6.0,1.0,-0.365,1
4609,11.039,9.0,7.0,2.0,0.039,1
4620,24.424,5.0,10.0,5.0,14.424,1
7207,14.965,12.0,8.0,4.0,-1.035,1
7342,7.503,7.0,10.0,3.0,-2.497,0
4875,20.996,6.0,4.0,2.0,12.996,1
3021,9.779,11.0,3.0,8.0,-6.779,0
